timestamp_ns,sequence_number,symbol_id,event_type,side,price_ticks,quantity,order_id,trade_id,flags
1000000000,1,1,Add,Buy,999,300,1001,0,0
1000000001,2,1,Add,Sell,1001,100,1002,0,0
1000000002,3,1,Add,Sell,1002,500,1003,0,0
1000000003,4,1,Execute,Buy,999,50,1001,9101,0
1000000004,5,1,Replace,Sell,1003,450,1003,0,0
1000000005,6,1,Execute,Sell,1001,20,1002,9102,0
1000000006,7,1,Add,Buy,998,400,1004,0,0
1000000007,8,1,Cancel,Sell,1001,0,1002,0,0
1000000008,9,1,Add,Sell,1004,250,1005,0,0
1000000009,10,1,Execute,Buy,998,75,1004,9103,0
1000000010,11,1,Replace,Buy,997,225,1001,0,0
1000000011,12,1,Heartbeat,None,0,0,0,0,0
