corpus,scale,mode,events,seed,symbols,sha256
baseline_100k,large,balanced,100000,2001,1,ed3aaf6e917e8d39529d81249d2c0a93eb099189fd628943599c3f2e47494b8b
baseline_1m,large,balanced,1000000,2002,1,373458a4b1157f6999c235c782d20b0480fd8501bdf13fc2d1c4addc9e65ed86
high_cancellation_1m,large,high-cancel,1000000,2003,1,9f31433839a3708d5723a783228b6e109e81f0925bafaed487ba51adc6e8e325
replace_heavy_1m,large,replace-heavy,1000000,2004,1,30fc80e0b7c5808b6a118c3bc05dc8719aa72d4f01ca19cbc75b24ffdfaf2bfe
deep_book_1m,large,deep-book,1000000,2005,1,b4f167142d242f9e13291dbda0212e41f0f7e6ca6d7f0d61845d4172b38a277a
bursty_1m,large,bursty,1000000,2006,1,8c5ceb658679a9ecdb1ec9eb58121e0a3c4fb5de3a80679344e15c5c5e6e151d
wide_price_range_1m,large,wide-price-range,1000000,2007,1,0e657585c01683871aa6713a2366d4f74832071809d2164e25d92ff3f61cd818
multi_symbol_grouped_1m,large,multi-symbol,1000000,2008,8,89bb120885f205bdc071781ad0f41bc54f0bd841b8255b3ed66f6634a2e58ca5
balanced_10k,large,balanced,10000,2101,1,81afa556f4de66c9089fd718a5be85ad1c0dd7b22b97f6f7f6ccedbe487f4068
stress_baseline_balanced,small,balanced,4000,20260531,1,13a9d81d519893ba5048aa35fad16dcaede0c222f9cee3003cc6d023139fafb1
stress_high_cancellation,small,high-cancel,4000,20260532,1,b22394e8b5c4de5530d705e48c59ca831ab0c397e24f2df156473d275dfb9da7
stress_replace_heavy,small,replace-heavy,4000,20260533,1,06d5c2da0ca22321bd2ee4199e1b3d236382c466655a815c7be5ce40778f2204
stress_deep_book,small,deep-book,5000,20260534,1,69b309147f2202877aac169c763d708c442b26987e85c50fbd6635f197e9e6fe
stress_wide_price_range,small,wide-price-range,5000,20260535,1,61725c65f230b5ac47bde7ec59111325a6f488a0e724a976c86c4ab2c799b06f
stress_bursty_flow,small,bursty,4000,20260536,1,276d3e0eb39ec9d60de2566a06d13489649e7b6ec5776b8db7446ad8ad077c3c
stress_long_same_symbol,small,long-same-symbol,8000,20260537,1,588434b28528517b1441caba491aee8fe900efd7e28b53835424a8bc87a0886d
stress_adversarial_lifecycle,small,adversarial-lifecycle,4000,20260538,1,74da8c3ebeec5da3f486c74068a5fa81f1d3f9e1ce4e08131a95ff58e64a783b
stress_multi_symbol_style,small,multi-symbol,4000,20260539,4,ad9e4a83c73c917b890d9ba028c377fb15aaac85580eab5b51831943d1977f67
